empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,437,GAP,Manufacturing,ThoughtWorks,3/1/2018,,Omni channel customer experience,"Seamless transition from online/ mobile app to store experience
Example: Store manager would know on the Ipad if the customer is in the store – to be able to bring the experience offline to in-store",,,"Sally
Sebastian
Brand tech groups",,,
,438,GAP,Manufacturing,ThoughtWorks,3/1/2018,,Improving in-store technology,"Improve in-store technology: Labour scheduling at store level, how employees manage sign in/ sign out etc.",,,"Sally
Sebastian
Brand tech groups",,,
,439,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Integration of SKU information across brands,"HBC needs a common database where all SKUs of each brand can be displayed - on both ends of the workflow
Ingestion: Common information management system/ database
Expose stock availability from any brand",,,x,,,
,440,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Integration of external SKUs with brand SKUs,"For Products that are not owned by the brands – better management to ensure product information tie together between different vendor IDs 
HBC is losing out on incremental sales in absence of it ",,,Dion Rooney,,,
,441,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Extension of Walmart marketplace to other brands,"Lord & Taylor is currently setting up shop within Walmart – extension of the current work, especially to HBC banner
Creating systems that help in payment/ managing orders; HBC was looking at Miracle product earlier",,,RJ Cilley,,,
,442,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,More nimble and robust common platform,"Common platform – build an enterprise modular platform to that is nimble and robust; check are all the brands using the same functionality?
Come up with plan with areas that are not common yet",,,x,,,
,443,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Changing the store experience,"Enabling store associates to communicate with customers when they are out of store; 
Ensure better store experience technology – Example, Touchscreen in dressing room/ outfit modelling etc.; Need a good value proposition",,,"Mark Metrick
Janet S",,,
,444,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Better use of the Store App to check-out,"Creating a new application or augmentation of the Store Application, with interface to help customer check-out with virtual receipt
Example- App interface with PLS systems, Price management system, Gift card processing'
Macy's just announced adopting this feature",,,x,,,
,445,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Omni channel customer history view at call center/ for store associates,"For customer calls into call center – bring up the customer data during the call
Pull up the brands customer has bought before and other data on what customer prefers
Extend functionality to store Associates",,,x,,,
,446,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Improve mobile app engagement,"Use mobile to draw customers in to the stores and engage better while at store; create applications that allow connection to style influencers by marketplace
No Mobile App for L&T/ Saks/ Off 5th;; Current HBC App  is  a mini version of the website, no push notifications",,,"Mark Metrick
Janet",,,
,447,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Better marketing opportunity through channels/ loyalty prgrams,"Improvements in Marketing: Currently the only regular marketing tool used is email and the impact of these emails is extremely low
Target individual customers marketing based on lifestyle
Current loyalty program is a sign up form in store – need enhancements on this",,,x,,,
,448,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Analytics to manage inventory/ store planning,"Product sell through based on available sizing by market and demographics is a big opportunity- better analytics are needed to become proactive in planning size capsules by store in order to turn inventory and increase margin
The ship from store process is helpful but not utilized often enough and is cost prohibitive in some remote markets",,,x,,,
,449,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Improvement in current CRM system,"Current CRM system needs to be more customer behavior focused and focus on nurturing forward relationships – needs massive improvement
Stores are still using paper-books to keep track (similar in all the banners)",,,"Maria Mauramann
David Rollison, Divisional Project, HBC
John, VP Ops, HBC",,,
,450,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Consistent reporting across systems,"Create consistent and accurate reporting across all systems- numbers vary from report to report today, especially for Saks and Off 5th",,,x,,,
,451,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Improvement in PLs systems functionality,"PLS system functionality: System issues occasionally restrict the reference of previous purchases, restricting
the return process in stores- this includes GILT purchases
Opportunity especially in Saks and Off 5th",,,x,,,
,452,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Shared Inventory functionality to capture data across banners,"Shared inventory capability - Currently when product moves between banners- ie. off price, it takes on a new SKU and all previous history is lost; leaving no way to explain any shortage later; especially in Off 5th banner",,,x,,,
,453,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Technology for process improvement at the DC,"D.C. technology processes- goods are taking too long to get online once they hit the D.C
Combine with look at reasons for loss through the supply chain process",,,x,,,
,454,Hudson's Bay,CPG,ThoughtWorks,3/1/2018,,Tools to help margin planning,Create tools that would allow better margin planning of goods; Program/ item basis – to improve the buying process,,,x,,,
,455,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Differentiate from competition using new age technologies,"Advisory services for use cases of machine learning to enhance their products and customer experience (eg using machine learning to pick news faster using social networking sites, prediction technology) ",,,xx,,,
,456,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Expansion to bundled products,"Build analytics tools (including prototyping and POC) as a bundled service to existing products (i.e. replace Cognizant staff aug model). Example – legal analytics, research assistance, performance management",,,xx,,,
,457,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Legacy moderniza-tion,Tolley transformation : implementation phase (LexisNexis wants this to be as quickly as possible),,,xx,,,
,458,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Forward integration into value chain,Back end integration of merged/ acquired companies with LexisNexis IT backbone,,,xx,,,
,459,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Differentiate from competition using new age technologies,"LexisAdvance application : continue to build enhancements, to data platform and mobile application using machine learning and natural language processing",,,xx,,,
,460,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Legacy moderniza-tion,Cloud migration : Migrate products based on the Rosetta platform to cloud (check product migration of Mlex) ,,,xx,,,
,461,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Legacy moderniza-tion,Agile transformation : using agile methodology to transform existing products (extension of transformations),,,xx,,,
,462,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Targeted marketing for customers,"Using analytics on top of existing front end applications to analyze consumer preferences, cross sell, upsell products and share advanced recommendations",,,xx,,,
,463,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Legacy moderniza-tion,Legacy modernization; migrate existing platforms to cloud,,,xx,,,
,464,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,New age offerings for healthcare industry,Providing platform layer or/and front end application layer to their solutions for the healthcare industry (eg –mobile application for myhealthtalent.com),,,xx,,,
,465,"Relx group (Lexis Nexis, Elsevier) ",TMT,ThoughtWorks,3/1/2018,,Increase customer stickiness,Building decision making tools based on analytics (eg personalised shared decision making to patients) for Elsevier to bundle with information services for its customers,,,xx,,,
,466,Southwest Airlines,TTL,ThoughtWorks,3/1/2018,,Enhancing customer experience,"Incorporating capabilities within customer applications such as –     Baggage tracking
Journey and way finding
Service disruption",,,x,,,
,467,Southwest Airlines,TTL,ThoughtWorks,3/1/2018,,Modernizing legacy data infrastructure,"Refactoring and updates to current applications to be based on cloud computing, reducing cycle time of apps; this will be based out of the new data centers",,,x,,,
,468,Southwest Airlines,TTL,ThoughtWorks,3/1/2018,,Operational systems for new flights,"Opportunity in pre implementation phase add Hawai– network operations center, flight planning tool, crew systems, in flight systems",,,x,,,
,469,Southwest Airlines,TTL,ThoughtWorks,3/1/2018,,Project management,"Advisory work on project management to encompass all the different investments/ initiatives (200-300) ongoing currently within IT and cross company, with analytics to gauge progress of projects – currently everything is being done manually",,,x,,,
,470,Southwest Airlines,TTL,ThoughtWorks,3/1/2018,,Automated communication to all relevant stakeholders,"Operational control center : a central management system to communicate between all relevant stakeholders : not only crew but also caterers, maintenance team for instance",,,x,,,
,471,Southwest Airlines,TTL,ThoughtWorks,3/1/2018,,Quick decision making/ strategy,"Collect all the airline data universe to evaluate the big picture and create strategies, test ideas using a tool ",,,x,,,
,472,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,“One Sysco” approach,Back end integration ofIT systems of companies within Sysco being integrated together,,,,,,
,473,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Enhancing customer experience,"Developing more user friendly front end applications making it easier for customers to order, track, provide feedback, deal with credits and returns",,,,,,
,474,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Making systems more efficient and agile,"Modernization of legacy back end systems – migrating them to cloud, making them agile ",,,,,,
,475,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Having seamless back end systems,"Addition of modules to their ERP “SUS” which Sysco has built inhouse (e.g., addition of real time visibility of inventory in warehouses)",,,,,,
,476,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Tracking accountability and performance within organisation,Creating performance management systems that are driven by key metrics and can enable measurement of impact by employees,,,,,,
,477,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Create more stickiness for customers,Consultation/development of value added services for restaurants (Sysco’s main customers) such as prediction of orders and supplies needed using historical data and social media analytics ,,,,,,
,478,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Creating more stickiness for customers,"Creating platforms for focused/individualized marketing: using data analytics to leverage order history of customers, SOW of Sysco to up sell, cross sell specific products to customers",,,,,,
,479,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Reducing supply chain costs,"Supply chain optimization:
Designing route optimization programs for trucks operated by Sysco for food distribution
Integration of electric trucks (newer technology being used by Sysco) to the existing supply chain systems",,,,,,
,480,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Increasing supply chain visibility,"Supply chain real time visibility: creating systems that can help track shipments in transit in real time, coordinate with drivers, build a pro active alert system in case of deviations",,,,,,
,481,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Enhance supplier experience,"Creating supplier facing tools to provide suppliers with easy to use interfaces to track orders, debits and interact with Sysco digitally",,,,,,
,482,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Reducing procurement and category management costs,Category Management: using analytics to leverage size and scale to reduce costs by rationalizing vast number of product lines and/or reducingprocurement costs,,,,,,
,483,Sysco Foods,CPG,ThoughtWorks,3/1/2018,,Increasing revenues from key customers,Business review enhancements for Sysco: creating tools for Sysco to conduct their business review meetings with key customers driven by leveraging data analytics,,,,,,
,484,Telus international,TMT,ThoughtWorks,3/1/2018,,Improving customer experience,"Telus Digital: Introduction of AI/NLP powered virtual assistants for care agents and for customer interaction
Unification of pivot chair systems, grown through acquisitions ",,,,,,
,485,Telus international,TMT,ThoughtWorks,3/1/2018,,Movement towards high speed networks,Telus Digital: Long term initiative for Falcon community launches,,,,,,
,486,Telus international,TMT,ThoughtWorks,3/1/2018,,Digitizing every step of customer journey,"Telus Digital: Building platforms for digital on-boarding of customers
Introducing virtual chatbots",,,,,,
,487,Telus international,TMT,ThoughtWorks,3/1/2018,,Introducing new services every year to increase customer base,"Telus Digital: - Possible redesign of Digital Wireline real estate: Home Solutions etc
Launch of the Family Share plan, and corresponding feature sets",,,,,,
,488,Telus international,TMT,ThoughtWorks,3/1/2018,,Getting real time insights into business perfor-mance,"Managing Big Data Lakes & Gleaming Insights: Using Hadoop infrastructure to create big data lakes and getting real time alerts and analytics to counter network outages, sub optimal performance, degraded QoS, improve churn, loyalty and retention, monetise anonymised data sets etc.",,,,,,
,489,Telus international,TMT,ThoughtWorks,3/1/2018,,Improving self-service to reduce personnel costs,"Koodo – introduction of chatbots, AR/VR, integration with Google Home and launch mobile applications to improve self-service",,,,,,
,490,Telus international,TMT,ThoughtWorks,3/1/2018,,Maintain continuity of systems,Koodo- Bringing in a new system of online charging and rating engine swap most likely given demise of RedKnee,,,,,,
,491,Telus international,TMT,ThoughtWorks,3/1/2018,,Moving towards new age networks,"Tech Strategy: Working on cutting edge technology stacks for eSIM deployment, SDN, NFV, SON, Identity, creating dashboards and reporting on network performance etc.",,,,,,
,492,Telus international,TMT,ThoughtWorks,3/1/2018,,Continuous update of legacy systems ,"Telus BTO: Developing billing, Robotic Process Automation, order Management, Catalogue Manage-ment & Pricing; currently being done by Netcracker, Amdocs, Ericsson & Genesys with a budget of over 40 M USD",,,,,,
,493,Telus international,TMT,ThoughtWorks,3/1/2018,Health,Modernize legacy platforms to enable easy integration,"Building next generation pharmacy platform to utilize cloud APIs, build and easily integrate mobile applications",,,"Sanjay Cherian, Brian Devereaux and Luc Gagnon",,,
,494,Telus international,TMT,ThoughtWorks,3/1/2018,Health,Get insights on healthcare customers for more targeted selling,Using big data analytics to create patient dashboards and get insights to offer a more customized product to the patient,,,Michael Guerriere and Ali Mir,,,
,495,Telus international,TMT,ThoughtWorks,3/1/2018,Health,Launching new age healthcare products to increase penetration in market,"Building a health platform for proactive lifestyle management, with prescriptive and predictive analytics",,,xx,,,
,496,Telus international,TMT,ThoughtWorks,3/1/2018,,Develop managed IT services offering,"Developing public and private cloud, and professional service capabilities",,,,,,
,497,Telus international,TMT,ThoughtWorks,3/1/2018,,"Upgrading BSS, OSS systems","Automating and upgrading revenue management software, including test automation and process automation; Amdocs is the legacy vendor currently but Telus open to another vendor who can bring in required capabilities",,,,,,
,498,Telus international,TMT,ThoughtWorks,3/1/2018,,Internal integration of identity,"Integrating all identity platforms to a single platform for access to internal systems using the same identity, and then migrating to Ping Federation platform",,,,,,
,499,Tesco,CPG,ThoughtWorks,3/1/2018,,Accelerate platform build out,"Accelerate the build out of the platform of API microservices
Only 30% is through right now and top of mind
Tesco wants to build new applications",,,"Jayesh
Andy",,,
,500,Tesco,CPG,ThoughtWorks,3/1/2018,,Replenishement systems,Tesco is creating new replenishment systems – millions being spent on that,,,Mike Yorwath,,,
,501,Tesco,CPG,ThoughtWorks,3/1/2018,,Unique value proposition (strategic),"Tesco has a problem in hiring/ retaining engineers; Providers can help on this through the right value proposition – 'we will give you scrum teams for end to end proposition' etc. Along with, pitch help:
New Calling App that is being built, labour scheduling platform, Clubcard initiatives",,,xxx,,,
,502,Tesco,CPG,ThoughtWorks,3/1/2018,,Analytics platform built,"Little data available in an accessible form – need to create a 'data lake' 
Accelerate capabilities with analytics / machine learning capability on top of that",,,xxx,,,
,503,Tesco,CPG,ThoughtWorks,3/1/2018,,Alliance with Dunhumby on their agenda,Engage with DunnHumby on accelerating their shift to a Product Management approach,,,Shailja Patel,,,
,504,Tesco,CPG,ThoughtWorks,3/1/2018,,Capability building/ advisory,"Help Tesco accelerate capability building – tackling legacy system constraint, through product management perspective on systems architecture",,,Richard Copperwaithe,,,
,505,Tesco,CPG,ThoughtWorks,3/1/2018,,Management of Infra-structure,"More efficient Infrastructure management: particularly around colleagues' workspace, so that staff have proper access to ""2018 tools"" rather than struggling to upgrade from older versions",,,xxx,,,
,506,Tesco,CPG,ThoughtWorks,3/1/2018,,Booker acquisition,Offer to help on assessing systems opportunities arising from the acquisition of Booker,,,xxx,,,
,507,Tesco,CPG,ThoughtWorks,3/1/2018,,Master data Management,"Master data management
Tesco has number of different data warehouses technologies; and multiple versions
Enormous scope for discovery/ proliferation of data (for single view of the data)",,,xxx,,,
,508,Tesco,CPG,ThoughtWorks,3/1/2018,,Presentation of the data,"Tesco moving to a service oriented architecture
Legacy applications / buying systems/ forecasting: Attempting to provide records around enterprise systems for a microservice type approaches; looking at agile delivery model, for repeatable API patterns to segregate the APIs",,,xxx,,,
,509,Tesco,CPG,ThoughtWorks,3/1/2018,,Store back-office App tree,"Cross business decisions: UK markets have stringent price competitions; Tesco is stripping out entire management layer, and concentrated decision making into small group of people in store
Back office functionality is no longer fit for the purpose; So that needs customization to the group size, esp. reporting/ data visualization in store to help the store staff",,,"Sally Marriott, Retail Technology",,,
,510,Tesco,CPG,ThoughtWorks,3/1/2018,,Enhancements to in-store pick applications,"In-store pick' applications (fulfilment application behind the online website); There are large scale customer cancellations, app unable to capture nuances
Need distributed apps to extend the OMS",,,x,,,
,511,Tesco,CPG,ThoughtWorks,3/1/2018,,Supply chain analytics for GM/ Fashion products,"Supply chain data is customized to the grocery side; vs general merchandising/ fashion
GM/ Fashion have seasonal products that need different forecasting capabilities, need a solution that can help
E.g. Making better use of data available for RFID implementation (largest scale roll outs of RFID in last 18 months that has given granular data at the store)
Distribution from store to store than DCs (Tesco can exprimement that)",,,xxx,,,
,512,Tesco,CPG,ThoughtWorks,3/1/2018,,Guided shopping/ Predictive analytics,"Application to ease and automate the app of goods to baskets
E.g. IFTTT (set on a trading website – if a price reaches a certain point, then a certain action)",,,xxx,,,
,513,Tesco,CPG,ThoughtWorks,3/1/2018,,Forecast planning,"Forecasting usually based on repeatable events in the past, than bespoke to trading periods
Predicting future sales curves that is relatively manual right now
unpredictable events (local events, holidays)",,,"Tom Hebbert, Director of Operations (focused on supply chain/ buying)",,,
,514,Tesco,CPG,ThoughtWorks,3/1/2018,,Tesco Labs (advisory),"Tesco Labs is drives innovation in-house – looking for tech for guided shopping
Looking for tech partner than retail focused",,,"Paul Wilkinson, Tesco Labs",,,
,515,Adient,Auto,LTI,5/24/2017,,Digital quality management and digital performance management,"Opportunity across quality assurance value-chain:
Raw material quality: Online inspection of raw material quality for better process control
Automated control to reduce inclusions and deviations
Quality predication: Predictive model for expected material properties
Optical inspection: Improved quality monitoring using image processing to identify and eliminate surface defects
End to end defect tracking system: Provides detailed defect profile of product to end-users",,," Randall Urban (Vice President, Digital Office)",,,
,516,Adient,Auto,LTI,5/24/2017,,Monetisation of data and value added services using advanced analytics,"Customized services like infotainment system based on customer preferences
Solutions for usage monitoring to track historic record of the real usage, maintenance and repair history of the car in order to give second-hand vehicles a rel-life usage certification",,,Kevin Hooks (in-charge of global manufacturing),,,
,517,Adient,Auto,LTI,5/24/2017,,"""Digital twin"" tool creation for Adient","Creating virtual representation of product across life cycle for complete and accurate product data (e.g., driving pattern, customer behavioral pattern)",,,"Randall Urban (Vice President, Digital Office)",,,
,518,Adient,Auto,LTI,5/24/2017,,Industry 4.0: Digitalization of processes,"Digitalize processes to reduce time to market
Leverage augmented reality for faster production
Digitalise procurement capability for processing orders (e.g., Daimler issues an RFP for component manufacturers with 3-4 weeks response window and is able to turn around quotes in 2 business days)",,,-,,,
,519,Adient,Auto,LTI,5/24/2017,,Industry 4.0: Digitizing factory operations,"▪ Opportunity to digitize factory operations to provide plant managers with a view of elements on shop floor on their mobile phones 
▪ Currently data generated from machines on shop floor sends data to PLC console, which generates a lot of signals, but this data is not being used 
▪ Need an end to end solution to connect machines, read data out of PLC, transmit data to edge cloud, clean up data, run analytics on data and interpret for insights on production 
▪ OSISoft and PTC are certain niche players in this space",,,"Randall Urban (Vice President, Digital Office)",,,
,520,Adient,Auto,LTI,5/24/2017,,Supplier management using digital databases,"▪ Optimizing and managing a panel of suppliers with digital tools and manage complex supplier databases digitally 
▪ Opportunity to automate certain ordering tasks, with potential to reduce headcount at back office",,,"Randall Urban (Vice President, Digital Office)",,,
,521,Adient,Auto,LTI,5/24/2017,,"Optimizing supply chain elements like delivery, timing, flow of trucks etc. for cost","▪ New and interesting opportunity area at Adient; improved decision making by digitizing supply chain elements like transportation, delivery etc.: 
▪ Planning of inbound and outbound trucks and drivers 
▪ Route planning optimization 
▪ Track and trace 
▪ Using digital tools and dashboards for real-time tracking and optimizing processes",,,"Randall Urban (Vice President, Digital Office)",,,
,522,Adient,Auto,LTI,5/24/2017,,efficiencies Cloud deployment,"▪ Explore interest in deploying existing cloud solutions (e.g., GE Predix) to replace on-prem data servers",,,"Randall Urban (Vice President, Digital Office)",,,
,523,Adient,Auto,LTI,5/24/2017,,Efficiency comparison across plants,"▪   Efficiency comparison across plants through inventory levels, head counts, number of parts produced (internal benchmarking)",,,"Randall Urban (Vice President, Digital Office)",,,
,524,Adient,Auto,LTI,5/24/2017,,Root cause analysis for recalled trades or defects,"▪   Analytics on recalled trades under warranty to figure out root-cause of issue by linking it back to MES, engineering and design systems, e.g., identify the plant where it was manufactured, when it was manufactured, issues with manufacturing in that plant, issues with design of product 
▪   Historical example: Was getting certain defects in fabrics plant on a regular basis; leveraged Microsoft analytics to run algorithms on collected data and came up with insight on a combination of loom-fabric-humidity that was leading to defects",,,Kevin Hooks (in-charge of global manufacturing),,,
,525,Adient,Auto,LTI,5/24/2017,,Condition monitoring and predictive asset maintenance,"▪ Condition monitoring to predict future failure by monitoring performance based on vibration data, sounds, etc. This will result in warranty cost reduction in warranty period and increase after-sales revenue in after-warranty period 
▪   Predictive asset maintenance on assembly line to: 
–  Avoid plant stoppages
–  Enabling plant managers to act before time (e.g., replacing components when needed) ",,,Kevin Hooks (in-charge of global manufacturing),,,
,526,Adient,Auto,LTI,5/24/2017,,Application support for PLM systems in managed services model,"▪ Has been working on implementation for number of years but has not moved that into a managed services arrangement 
▪ Other ERP systems have been under managed services model for number of years, but PLM is the least mature area 
▪ Also includes application development to support end-to-end implementation of PLM systems, e.g., applications that support feeding data into system from CRM acros multiple functions - sales, engineering, finance 
▪ Has big focus on continuous improvement and always looking for value-added services from providers to increase service levels and efficiency and reduce costs",,,Kevin Hooks (in-charge of global manufacturing),,,
,527,Adient,Auto,LTI,5/24/2017,,Implementing Maximo across," 
▪   Has recently started rolling out Maximo, facility management software across a few plants (opportunity to scale it up to more plants)",,,-,,,
,528,Adient,Auto,LTI,5/24/2017,,plants RFID based systems for warehousing and tracking parts in,"▪   RFID based systems for   internal logistics and internal supply chain for plants 
▪   Accurate tracking and identification of batches at warehouse and easy tracking of parts",,,Kevin Hooks (in-charge of global manufacturing),,,
,529,Adient,Auto,LTI,5/24/2017,,Standardisation of MES systems across plants globally,"▪   Looking to globally standardise MES software/hardware to one single solution for each product across all plants to enable HQ to get production data and analyse performance of all plants on one screen 
▪   MES systems currently being integrated to MSG Pro, roll out in phases 
▪   ~100 plants with most with legacy systems needing upgradation, MES systems currently in place only in Europe 
▪   Assistance with decision making using algorithms and analytics and optimizing risk management 
▪   Strategy for rollout will be driven centrally but execution and budget will reside regionally (plant by plant)",,,Kevin Hooks (in-charge of global manufacturing),,,
,530,Adient,Auto,LTI,5/24/2017,,Upgradation of core ERP systems,"▪   Started a project to upgrade core ERP systems, which are a combination of SAP and QAD 
▪   Is looking for partners who can help with SAP deployment in Asia",,,-,,,
,531,Adient,Auto,LTI,5/24/2017,,Integration of IT systems within and across plants,"▪   Opportunity to connect the 20-50 different software systems seen in each plant across value chain (warehousing, production planning, inventory) to ensure consistent flow of data across organisation 
▪   IT solutions managed regionally by plants at Adient, hence different IT solutions exist at different plants (following same globally set standards); opportunity to pitch for integration of IT systems of different plants for smooth flow of information",,,-,,,
,532,Adient,Auto,LTI,5/24/2017,,Value added services around CRM system,"▪ Undertook SFDC CRM implementation in last 1 year, but is looking for partners with in-depth knowledge of CRM particular to automotive industry, to help figure out ways to best leverage CRM, given the complex customer relationships (number of customers is less but have a lot of products)",,,"George Ward (Director, IT Business Relationship Management)",,,
,533,Adient,Auto,LTI,5/24/2017,,"Incident response monitoring, security operations, digital licensing and protection systems","▪   Is looking for both tools and services that need to be put in place for incident response monitoring, security operations, digital licensing and protection systems 
▪   Not looking to build out security capabilities internally and is actively looking for service providers 
▪   During spin off, Adient built security team from scratch (JCI also didn't have one at that time) 
▪   Security is important given large amounts of data being moved across the company (customer data, engineering data, engineering drawings, etc.)",,,William Cummings (Global Chief Information Security Officer),,,
,534,Airbus,Manufacturing,LTI,5/4/2017,,Quality control improvement through sensors and equipment monitoring,"▪      Improved quality control through better use of sensors and monitoring equipment to identify trends which drive yield 
▪      Reducing variation in precision manufacturing with data collected from quality control sensors and fed-back to the process controls 
▪      E.g., GE Aviation composite manufacturing   sites collect data from each process step, including environmental, process and tooling variations, and analyses resulting yields real-time to identify drivers for quality issues",,,"▪      Luc Hennekens (CIO) 
▪      Marc Fontaine (Digital Transformation Officer) 
▪      Tom Williams (COO)",,,
,535,Airbus,Manufacturing,LTI,5/4/2017,,Shop floor management,"▪      Opportunity primarily valid for new geographies (e.g., India); already a big initiative undertaken about 5-6 years back by CIO 
–     Automated shop floor data entry 
–     Real time performance monitoring 
–     Tracking production process and scheduling shop floor operations 
–     Providing transactions of operations and inventory at each step 
–     Real-time monitoring of processes (e.g.,   usage data, faulty indicators) 
▪      Existing shop floor management solutions are SAP based",,,"▪      Luc Hennekens (CIO) 
▪      Marc Fontaine (Digital Transformation Officer) 
▪      Tom Williams (COO)",,,
,536,Airbus,Manufacturing,LTI,5/4/2017,,Real time health monitoring (for predictive maintenance and tracking for inventory management in aftermarket),"▪      Real-time equipment monitoring to improve reliability and optimize maintenance activity 
▪      Data upwards of 1 TB per flight is being created from modern aircraft – these large datasets could be utilized for deriving valuable insights on aircraft performance and maintenance 
▪      The same engine can be utilized in different aircrafts for different performances -resulting in differing engine performance 
▪      Need to analyze engine data in tandem with flight mission, pilot behavior data etc. to generate insights about engine health 
▪      Analysis of real time data could be used to increase maintenance effectiveness",,,"▪      Guillaume Faury (CEO, Airbus Helicopter) 
▪      Tom Williams (COO)",,,
,537,Airbus,Manufacturing,LTI,5/4/2017,,Advanced reliability analytics,"▪      Reliability analytics and forecasting models based on error messages transmitted by airplane's health monitoring program and on-ground operations information, to assess aircraft parts failure and replacement rates 
–     The analytical model predicts repairs and replacement schedules for the aircraft based on multiple years of historical data about asset failure, replacement and repairs related to the aircraft/model, dynamic inputs received while in flightCan also be enabled by a spare parts provisioning solution that keeps the parts inventory at its optimum",,,"▪      Guillaume Faury (CEO, Airbus Helicopter) 
▪      Tom Williams (COO)",,,
,538,Airbus,Manufacturing,LTI,5/4/2017,,Aftermarket parts inventory forecasting for spare parts and rental engines,"▪      Component volume forecast and determining operator-specific demand profile 
▪      Helicopters, especially, consume a lot of spare parts due to high vibration, hence, need to maintain an efficient supply chain of spare parts 
▪      Long lead time for production increases the necessity for more precise forecasting of demand 
▪      Need to run regression analysis for forecasting inventory level of spare parts and rental engines 
▪      Key is to track data of actual usage of parts and employ predictive maintenance instead of reactive maintenance to reduce maintenance cost",,,"▪      Guillaume Faury (CEO, Airbus Helicopter) 
▪      Tom Williams (COO)",,,
,539,Airbus,Manufacturing,LTI,5/4/2017,,Analytics driven aftermarket order management,"▪      Parts market, particularly aftermarket, suffers from a surplus coming in from retired planes, as well as new production 
▪      Number, categories and types of parts makes inventory management difficult 
▪      Further complexity is added by a shift to parts pooling by various OEMs 
▪      Any downtime for the aircraft due to unavailability of requisite parts is expensive 
▪      Need for analytics driven inventory management to balance OTIFs, carrying costs 
▪      Need for analytics driven demand forecasting to ensure suitable resource allocation and production",,,"▪      Guillaume Faury (CEO, Airbus Helicopter) 
▪      Tom Williams (COO)",,,
,540,Airbus,Manufacturing,LTI,5/4/2017,,Aftermarket Diagnostics and Prognostics,"▪      OEM's focus on tracking of usage patterns of the parts in the context of associated systems, type of aircraft, flight data etc. to analyze health of parts 
▪      Analysis of collected data could help in predictive proactive maintenance, thereby optimizing life and performance while minimizing downtime for   planes 
▪      Opportunity to pair with digital apps for field technicians, with common dashboards and apps",,,"▪      Guillaume Faury (CEO, Airbus Helicopter) 
▪      Tom Williams (COO)",,,
,541,Airbus,Manufacturing,LTI,5/4/2017,,Real-time shipment monitoring for tracking suppliers,"▪      Solutions to monitor travel time and journey until receipt confirmation; helps validates records and automates future audits for easy returns and reconciliation 
▪      Extremely important for Airbus; especially the commercial aviation unit is missing automated IT control systems for supplier",,,,,,
,542,Airbus,Manufacturing,LTI,5/4/2017,,"Analytics in aircraft operations (e.g., delay propagation, arrival time prediction)","▪      Advanced Analytics in aircraft operation, e.g., delay propagation, decision support on cancellation/delay, accuracy of arrival time prediction",,,,,,
