empty,field_expert_fullname,field_expert_affiliation,field_expert_study,field_expert_contact_point,field_expert_joined_ideation,field_expert_designation,field_expert_description,field_expert_primary_at,field_expert_primary_vt,field_expert_image
,Dave Kerr ,Internal,Infosys,,N,"Senior Expert, Singapore, McKinsey","he was the overall technical lead in a large scale 14 month v2 digital bank build out, using microservice architecture",Daimler,Manufacturing,
,David Baglee ,External,,,,"Former Vice President, Technology & Manufacturing Group, Intel Corporation ","David has been the owner of Baglee Consulting since February 2016, where he specializes in strategy, management and high volume manufacturing. Previously, David was the Vice President of Technology & Manufacturing at Intel from May 2010 - May 2013, where he directed NAND Manufacturing and Operations. Prior to Intel, David was an Executive Officer at IM Flash Technologies LLC, joint venture between Intel and Micron. From October 1987 - November 2005, David worked as the Engineering and Factory manager at Intel. He served as a Senior Member of the Technical Staff at Texas Instruments from September 1980 - September 1987. He received his degree from the University of Liverpool in 1978",Intel,,
,Dave Swift,External,Infosys,,Y,"Former CIO, Zurich Insurance Group",,Allstate,Insurance,
,David Hall,External,Infosys,,N,"Former Lead Data Enterprise Architect, ANZ",,ANZ Bank,Banking,
,David Reich,External,Infosys,,N,"Ex-Global VP, IT Service/Product Management, J&J",Has handled the end to end IT infrastructure at J&J and understands IT compliance in pharmacos,Novartis,Healthcare,
,David Verdura,External,Infosys,,N,"Former Global Head of Digital Solutions, Novartis","Over 11 years of experience at Novartis, with roles spanning across Head of Global Digital Solutions, Global Head of CRM Operations etc.",Novartis,Healthcare,
,David Wagner,External,Infosys,,N,"Former Vice President, Operations – Workplace Resources, Cisco ","David led a global organization with responsibilities for the provision of all corporate real estate solutions and facilities services throughout a portfolio of 23MM square feet, spanning 93 countries. He key responsibilities included translating business demands into actionable strategies, which are delivered through an integrated outsourced platform of more than 11,000 professionals worldwide",Cisco,TMT,
,David Whipple,External,Infosys,,N,"Former Director, Azure Networking, Microsoft",,Microsoft,TMT,
,Debasish Patnaik,Internal,Infosys,,N,"Partner, London, McKinsey",Leader in Financial Services in UK/ Europe,,,
,Dev Patel,Internal,Infosys,,Y,"Partner, Chicago, McKinsey","Partner in TMT, IoT and Advanced industries practice with expertise in Advanced electronics and leader of Americas TMT sector",Verizon,TMT,
,Dominik Hepp,Internal,Infosys,,Y,"Associate Partner, Munich, McKinsey","Dominik has 7+ years experience with clients on digital transformations & product dev. excellence primarily in automotive & tech industry
He has recently served on an end-to-end digital transformation for a Tier-1 automotive supplier, incl. digital strategy, technology roadmap
",Toyota,Manufacturing,
,Don Duet,External,Infosys,,Y,"Ex-Head of Technology, Goldman Sachs","Don was the head of technology globally for Goldman Sachs and is a firm expert on Fin and Risk, IB and AM tech",UBS,Banking,
,Don Neault,External,Infosys,,Y,"Former VP, Cisco Advanced Services","Don worked with Cisco for 18 years, serving most recently in the role of VP for Advanced Services in Global Enterprise. During that time, Don led service delivery for Service Provider, Public Sector and Cisco’s largest global enterprise customers. He led organizations responsible for revenue ranging from $100M to $1B in total services to Cisco.",CISCO,TMT,
,Douglas Raymond,External,Infosys,,N,"Former SVP, Mastercard","Group Head, Senior Vice President at Mastercard Incorporated (23 years +)",American Express,Banking,
,Edmond Jay,External,Infosys,,Y,"Former EVP, Merchant Services Americas, Amex","Ed was the EVP of merchan services americas. He led the business with merchants in canada, LATAm, US Small Merchants and merchant financing.",American Express,Banking,
,Emad Ghani ,External,,,,"Former regional IT Servcices director, Shell","Emad was the Former Regional IT Services Management Director at Shell in Doha where he led two major digital initiatives (including big data predictive analytics). He shared that he is best positioned to speak to typical spend in the industry related to big data engineering analytics and has has experience outsourcing to vendors.

He noted that the vendors that he's most familiar with are: Atos, HPE, SAP, IBM",Royal Dutch Shell (Shell),,
,Eileen Kelly Rinuado,Internal,Infosys,,N,"Senior Knowledge Expert, New York, McKinsey","14 years of experience in supporting alliances, deals, M&As etc. especially in the PMP sector.",Novartis,Healthcare,
,Eric Jewitt,External,Infosys,,Y,"Former Director, WW & Field Marketing, Microsoft","Eric Jewett spent 10+ years at Microsoft in several Cloud & Enterprise roles, including WW Director of Windows Server marketing communications, Sr Director of Azure Marketing & Operations in Western Europe and WW Director of Azure (C&E) enterprise sales strategy",Microsoft,TMT,
,Esat Sezer,External,Infosys,,N,"Former SVP and CIO, Coca Cola Enterprises ",,Coca-Cola,CPG,
,Eugene Saburi,External,Infosys,,Y,"Former General Manager, Marketing, Microsoft","Eugene Saburi spent 18+ years at Microsoft in several roles, including roles of GM, Server and Tools marketing, GM SQL server product marketing, GM Windows server marketing",Microsoft,TMT,
,Fadi Haider,External,Infosys,,Y,"Former Sr. Project manager, Exxon","Fadi has 10+ years of experience in Exxon IT. He led global projects to deploy technology solutions to upstream engineers and geoscientists (Remote Graphic Service, EMpower, ArcGIS, etc.).",Exxon,EPNG,
,Farouk Ferchichi,External,Infosys,,Y,Former Chief Data Officer and Head of Data and Analytics,,Toyota,Manufacturing,
,Filippos Siakavaras ,External,,,,"Former Global Purchasing Director (Fuel Supply), Continental Aktiengesellschaft ","Filippos Siakavaras has been working for the apparel, fashion, clothing, and footwear manufacturer and distributor s.Oliver since June 2013 as Head of Administration. He supervises Central purchasing, fleet management, Facility management, Travel services and other aspects of this business. He previously worked in the automotive industry. He worked at TRW, the leading automotive safety SYSTEMS company. He worked as Global Purchasing Director, Occupant Safety Systems at TRW from 2011 to 2013. Before this, he worked at Continental as Global Purchasing and Supplier Quality Management (SQM) Director, and Fuel Supply. He previously worked 8 years at Siemens, in the automotive sector. Lastly as Director Global Commodity (Plastics/Resins/Rubber) from 2003 to 2006. Before this, as Manager Global Commodity (Plastics/Rubber) from 2001-2003 and as Advanced Purchasing Engineer, Motor Drives NAFTA (1998-2001). therefore, Filippos has a good understanding of the automotive sector but also, more recently, experience with the fashion and consumer goods industry.",Continental,,
,Filippo Passerini,External,Infosys,,Y,"Former GBS & CIO, P&G ",,Coca-Cola,CPG,
,Gadi BenMark,External,Infosys,,N,"Expert AP, New York, McKinsey","Advises CEOs of high-tech companies, CMOs and CDOs of companies across industries, aiming for digital transformations
Supports strategic, organizational, and operational solutions on  digital marketing, sales, and eCommerce.

",Coca-Cola,CPG,
,Gaurav Gupta ,External,,,,"Senior Manager, John Deere India Private Limited ","Mr. Gaurav Gupta has been the Senior Manager-Manufacturing engineering at John Deere since May 2012. He takes care of the Power Systems vertical (Engine, Transmission, Axles). He is responsible for providing strategic direction and support for both PDP (Product Development Process) execution and OFP (Order Fulfillment Process) for manufacturing plants located in US, Mexico, Argentina, France, China & India. Prior to this, he was the Deputy Manager- Assembly Engineering at Maruti Suzuki India Limited from May 2006 to May 2012. He was responsible for the Vehicle Assembly Engineering Production Engineering vertical, including process/capacity planning, supplier development, budget estimation/monitor & control, cost estimation & negotiation. The advisor specializes in manufacturing strategies for commercial vehicles, passenger cars and Off -highway Industries. His areas of expertise include setting greenfield facility, brown field facility, new model launches, managing product life cycle ,capacity planning, lean manufacturing, resource allocation, total quality management, just-in-time production. He is currently located in India.",Deere & Company,,
,Gary King,External,Infosys,,Y,"Ex-CIO, T-Mobile","Ex CIO Tmobile, Ex-CIO Chico's and Ex-CIO Barnes & Noble",TMO,TMT,
,Graham Farmer,External,Infosys,,N,"Former CIO, GSK",Graham has a lot of experience in leading the IT function in pharmacos,Novartis,Healthcare,
,Grant Riewe,Internal,Infosys,,N,"Senior Expert, Minneapolis, McKinsey","focus on the Platform Architecture & Configuration Service Line. Spent ~10 years consulting at Accenture. Serves across sectors for Automation@Scale, Customer Care, Sales & Marketing, and Corporate Business Functions. Experienced enabling organizations to address business challenges and transform themselves with the support of technology.",Daimler,Manufacturing,
,Hans Van Brackle,External,Infosys,,N,"Former research strategy advisor, ExxonMobil",39+ years experience at Exxon mobil chemical,Exxon,EPNG,
,Hari Abhyankar,Internal,Infosys,,Y,"Associate Partner, San Francisco, McKinsey",Hari is a Associate Partner with McKinsey SF Office and has worked with Microsoft extensively in the past. ,Microsoft,TMT,
,Henning Soller,Internal,Infosys,,N,"Associate Partner, Frankfurt, McKinsey","AP with Frankfurt office, expert in legacy modernisation in banking industry",UBS,Banking,
,Himanshu Agarwal,Internal,Infosys,,Y,"Partner, Silicon Valley, McKinsey","Leader of McKinsey's cloud and IT infra practice.
Deep expertise on IT in FS",Citi,,
,Hiren Chheda,Internal,Infosys,,N,"Knowledge expert, Mumbai, McKinsey",Senior expert on BPO outsourcing and IT,Exxon,EPNG,
,Ido Segev,Internal,Infosys,,Y,"Partner, Boston, McKinsey","Leader of the Digital service line to Financial
Institutions in North America.",Allstate,Insurance,
,Indy Banerjee,Internal,Infosys,,N,"Partner, Bangalore, McKinsey","Global Sourcing Expert, specializing in designing, transitioning and operationalizing global services right shoring and outsourcing programs",Daimler,Manufacturing,
,Irv Kieback,External,,,,"Former product supply director, P&G",,P&G,,
,James Bilefield,External,,,,"Skype, Conde Nast, Fargetch – Digital Entrepreneur",, ,Cross-industry,
,James Fuller,External,Infosys,,N,"Former Senior Director, Lifecycle Services, Cisco","Jim worked with Cisco for 18+ years, serving most recently in the role of Senior Director and GM for Cisco’s Lifecycle Services: Asset Management, Field Services and Migration Support practice Jim had full P&L responsibility for Asset Management, with over 1000 customers, $220M in annual revenue, and over 200 ITSM professionals Jim was part of the executive leadership team that managed over $10B in Service Parts inventory, in over 1400 locations and the respective repair and logistics",Cisco,TMT,
,James Mclaren,Internal,Infosys,,N,"Expert AP, Berlin, McKinsey","18 years experience architecting and implementing digital and CRM solutions for banks, insurance companies, Telcos and Retailers",Daimler,Manufacturing,
,Jamisson Fowler,Internal,Infosys,,Y,"Former VP, Anthem","Served as VP of Anthem from 2002-2017, where he led their digital strategy. He was also Commercial CIO at Anthem. Initiated and led implementation of Enterprise wide Agile for all of Anthem
",Aetna,Healthcare,
,Jan van der Eijk ,External,Infosys,,Y,"Senior Advisor, McKinsey","Jan is a former Chief Technical Officer at Shell. His 30-year career with Shell covered a wide range of research, technology and business management positions. In his career he worked with JV partners, customers, universities and governments in the US, Europe, Middle East and Asia",Exxon,EPNG,
,Jason Ballard ,External,,,,"Former Director, Emerging Technologies Group, Cisco",,Cisco,,
,Jayson Chi,External,,,,Dell – Leader of strategic planning unit,,Dell,TMT,
,Jeanice Lee,External,Infosys,,Y,"Former Director Digital Engagement & Retail Transformation, Toyota",,Toyota,Manufacturing,
,Jeanne Dunn,External,Infosys,,Y,"Former VP & GM, Cisco","Jeanne led strategy, planning, GTM and P&L operations of Cisco's highly profitable and largest services portfolio for 22+ years",Cisco,TMT,
,Jeff Gerber ,External,,,,"Former Corporate R&D, Process Breakthrough Group, The Procter & Gamble Company (2009-2012) ",,P&G,,
,Jeff Patton,External,,,,"Certified scrum trainer;
Author of the book User Story Mapping",, ,Cross-industry,
,Jermery Brabec,External,Infosys,,N,"Former Head of Digital, TMobileTransformation Delivery",Jeremy built the Digital Product Management and Agile Software Development organizations. Created and delivered the Digital Transformation effort across all of T-Mobile US with 44 Scrum teams ($268M). This included creating new Operating Models and establishing the overall Digital (Customer Journeys) and Technology Roadmap for all channels.,TMO,TMT,
,Jim Mcdonnell,External,Infosys,,Y,"Member of IT Steering Committee for Exxonmobil Chemical division and Planning Executive for Global Operations, ExxonMobil Chemical Company",,Exxon,EPNG,
,Joe Virginia ,External,,,,Former Global Supply Chain Management ,"Joseph (Joe) Virginia has over 25-years of experience as a MEMS motion sensor, capacitive touchscreen and flat panel display executive with extensive experience in sales, marketing, strategic and competitive positioning, corporate communications and OEM executive level relationships. Joe is currently the Owner at JLV Consulting. Previsouly he was the President of Senkatel USA, a company that designs and manufactures high quality IT products while making them more accessible to educators, students and businesses through affordable pricing and an efficient value-added supply chain. Joe also maintains a small, part-time advisory role at Flextronics. Previously, he served as the Vice President of Sales, Business Development, Product Management and Applications Engineering at Qualcomm until April 2012, and before that, he worked from July 2010 in global supply chain management at Cisco. Between June 2008 and July 2010, Joe was the Owner of JLV Consulting, providing institutional investors strategy and competitive positioning information for touchscreen, display, and MEMS companies while supporting investor and VC due diligence for current and new portfolio clients. Previously, Joe was the VP of Handheld Business for InvenSense, the leading MEMS gyroscope manufacturer based in Silicon Valley where he was responsible for all handset business development. He also served as the Vice President of Synaptics Inc., the leading capacitive touch sensing supplier, where he grew the company's handset business from",Cisco,,
,Johann Hess,External,Infosys,,Y,"Former Director, IT Operations, Mercedes Benz Cars","Johann was responsible for IT Operations in the Mercedes Benz Cars division till August, 2018. His respnsibilites included overseeing IT for production plants across Daimler passenger vehicles",Daimler,Manufacturing,
,John Briscoe ,External,,,,"Former Senior Manager, Technology Development, Intel Corporation ","John Briscoe is currently Principal at Semichem Consulting LLC since July 2014, and works with clients consulting in the semiconductor industry. Prior to this role, he was Senior Manager - IP Operations at Intel Corporation from July 2013 to July 2014 where he led the IP Operations Group for Intel's Communications, Storage and Infrastructure Group (CSIG), and Maintained accountability for all budgeting, program decision, and leadership of development teams for IP used in CSIG product lines comprising revenue in excess of $3B. Previously, he held multiple roles at Intel from May 1995 to July 2013 including Senior Manager - Technology Development, Senior Quality Manager - Supplier Quality, Manager - Materials Characterization Labs as well as Senior Materials Engineer. He is a results driven executive with over 20 years of experience in a broad range of managerial areas, with focus on materials engineering, product development and international supply chain management. He has a demonstrated record of achievement leading technical teams in innovative development activities while exceeding operational objectives. He has a BS in Chemistry from St. Norbert College, and a Ph.D. in Chemistry from Arizona State University.",Intel,,
,John Case,External,Infosys,,N,"Former CVP Office & Office 365, Microsoft","John Case worked in Microsoft for 16+ years, most recently as the CVP Office & Office 365 till end of 2016
As CVP, John led product management, product marketing, digital and brand, pricing, sales engines, and business management for Microsoft Office family and Office 365",Microsoft,TMT,
,John Crosby,External,,,,"National Express Group PLC – Chief Digital Officer; 
Lastminute.com – Product & Technology Officer; 
Auto Trader – Chief Technology Officer",, ,TTL; CPG; TMT,
,John Hickman ,External,,,,"Former Advanced Purchasing Manager, Continental Aktiengesellschaft ","Mr. John Hickman is a certified Project Management Professional with 24 years experience in project and manufacturing environments. He has extensive knowledge of project costing, scheduling, quality assurance and procurement. He has experience in implementing solutions for process and cost improvements as well as managing multiple projects and personnel in fast-paced environments. John is committed to facilitating timely release of products to market and achieving both revenue and cost targets. His specialties include: Project Management Professional / Team Leadership / International Business & Cultures / Strategic thinking / Intercultural Communication / Procurement & Negotiation.

",Continental,,
,John Lauten,External,,,,Former Director of Operations and Planning ,"Global Operations Executive with a track record of driving corporate strategy and enhancing business performance by directly improving operations, systems and processes worldwide while lowering operating expenses. Strong executive presence with customers, partners, vendors and management. Built and managed large, cross-­--functional global teams. Held leadership positions in acquisition integration for both acquiring companies and a companies that were acquired. Experience and skills include: • Corporate Strategy • Supply Chain Best Practices & Metrics • Business Services Organizations • Program Management • Mergers & Acquisitions • Business Integration • Sales & Operations Planning • International Expansion • Operations Management • Business Transformation • CIT company strategy • Technology Manufacturing • CX B2B - Customer Experience Best Practices",Cisco,,
,John McCloskey,External,Infosys,,Y,"Ex-Global Head, WW server sales, Microsoft","John McCloskey is the ex-global head of WW server & cloud sales, and understand the strategic priorities o fthe Microsoft organisation well",Microsoft,TMT,
,John Planalp,External,,,,"Former Corporate R&D, The Procter & Gamble Company (1997-2012) ",,P&G,,
,Jon Beyman,External,Infosys,,Y,"Senior Advisor, McKinsey",Ex-head of Global operations and Tech for Institutional Clients group. Has held leadership roles across FS firms on O&T,Citi,,
,Jon Erik Haug,External,,,,"Telenor Group – Chief People Officer & EVP; 
Telenor Denmark – CEO;
Telenor Sweden – CMO;
Telenor ASA – Head of Telenor Climate Change Program",, ,TMT,
,Jon Silva - ,External,,,,"Former Business Operations Manager, Cisco","Jon Silva is the Director of Procurement at Jack in the Box, Inc. where he manages a team of category managers responsible for a variety of spend categories for both Jack in the Box and the Qdoba Brands. Prior to getting back into the Food Service industry, Mr. Silva work for Cisco Systems, Inc. where he held the position of Business Operations Manager in the Business Capabilities group as part of the $40B dollars Services organization. Mr. Silva was previously the Director of Supply Chain Operations at P.F. Chang's China Bistro, a restaurant chain in the United States from 2005 to 2010. Mr. Silva oversaw the Supply Chain Technology, Process and Contract management for $200 million dollars of spend. During his time there he deployed a pricing solution that ensured pricing to the stores was 99% accurate, with an estimated savings in the first year of $1 million dollars attributed to direct cost savings and zero technology expense. Mr. Silva also worked with suppliers to develop a robust Supplier Business Review process that broadened the scope of commodity reviews and supplier engagements. He received an MBA from the University of Redlands, CA in 2004.
",Cisco,,
,Jonathan Caplan,External,,,,"US Director & Head of New Business Sales, Wipro",,Intel,,
,Joseph Pelrine,External,,,,"Momox - Interim CTO; 
eBay classified group - interim CTO; 
MetaProg GmbH - CEO",, ,Cross-industry,
,Kapil Lahoti,External,Infosys,,N,"Ex-AP, McKinsey, Head of operations – GD&C, Solera Global Data and Content",Kapil has worked extensively on app outsoucing deals with other large Telcos and is an expert on design of the right value an dcomemrcial porposition for the Adm outsourcing deal,Verizon,TMT,
,Karen Peery,External,Infosys,,Y,"Former VP IT, Exelon","Karen Peery was Vice President, Information Technology, Exelon Generation at Exelon Corporation (08/2003 - 04/2018). In this role, she held IT executive responsible for delivery of IT services for the Exelon Generation Corporate, Nuclear, and Power business operations",Exelon,EPNG,
,Karim Thomas,Internal,Infosys,,Y,"Partner, Toronto, McKinsey",Karim is a WM Tech expert for North America,UBS,Banking,
,Karl Muth ,External,,,,"Former Manager Systems Engineering, Intel Corporation ","Karl Muth is currently working as Analog IC Design and System Integration at Rockley Photonics Inc. Systems engineer for silicon photonics modules and applications. Managing systems and IC design team. Signal and power integrity analyses. PCB and COB designs and technologies. Device and systems modeling for link analyses and device architecture specifications. Reference designs and transceiver integration, verification and validation. Device architectures and design of optical module ICs like TIAs, PAs, CDRs, and LDDs as well as equalizers and modeling of SERDES receivers for backplane channels and cabels. Feasibility analysis and link margin estimation at 10, 14, and 28 Gbps, compliance testing and characterization. System analysis, electrical and optical device and package modeling with 2D and 3D EM simulators as well as SPICE simulator derivatives. Signal and power integrity analyses. Standards committee participation (T11 8GFC, SFP+,40G/100G IEEE802.3) and product definition. MMIC design in GaAs and RF transceiver design for digital microwave radio at 26/30GHz. Linear PA design. High speed digital and microwave simulation, modeling, rapid prototyping, and measurement techniques. Permanent resident of the US and member of the IEEE.",Intel,,
,Karthi Purushothaman,Internal,Infosys,,Y,"Partner, New York, McKinsey",Leader in Insurance Operations & Technology and Data Analytics practices,Allstate,Insurance,
,Keith Harrison,External,,,,"Former global product supply officer, P&G",,P&G,,
,Ken Somers ,Internal,,,,"Expert Partner, Antwerp, McKinsey",,P&G,,
,Ketan Patel,Internal,Infosys,,N,"Senior Digital Expert, McKinsey",Expert on testing and vendor landscape,Citi,,
,Kim Gandhi,External,Infosys,,Y,"Former Director, Cloud Services, Salesforce",Kim was a director at Salesforce and worked on multiple projects closely with Maria Martinez. She was responsible for salesforce deployments across its customers to maximize adoption and ensuring customer success,CISCO,TMT,
,Kyle O malley,External,Infosys,,N,"Senior Implementation Manager, Microsoft SAP systems","Kyle was the implementation Manager within Microsoft's Enterprise Application Services (EAS) and Strategic Enterprise Services and IT (SESIT) divisions, and understands the SAP landscape in depth
",Microsoft,TMT,
,Larry McGrew,Internal,Infosys,,Y,"Former Director of Digital Strategy, Governance and Digital Marketing, Aetna
","Former Director of Digital Strategy and Governance and Digital Marketing at Aetna, where he worked for 17 years until June 2017. ",Aetna,Healthcare,
,Laura Merling,External,Infosys,,Y,"Former VP Digital services and Autonomous vehicle solutions, Ford Motor company",,Toyota,Manufacturing,
,Laurent Phillippe,SA,,,,"Senior Advisor, McKinsey",,P&G,,
,Lazaro Beltran ,External,,,,"Former Senior R&D Quality and Reliability Process Enginee, Intel Corporation ","Lazaro Beltran is currently an Independent Consultant. Prior to this role, he was New Process Technology Officer - Energy, Consulting at Felco Smart Solutions from August 2015 to May 2016. Previously, he worked at Intel Corporation from August 1996 to July 2015 in multiple roles including Senior R&D Quality and Reliability Process Engineer (January 2014 to July 2015), Senior R&D Test Process Engineer - Semiconductors (December 2010 to December 2013), Technology Development Engineering Manager - Semiconductors, and Senior Process Development Engineer - Semiconductors. His areas of expertise include innovation, R&D, Research, Engineering, Product, Process and Equipment Development, Semiconductors, Packaging, Microelectronics, SMT, Lean Manufacturing, Continuous Improvement, Design of Experiments (DOE), Statistical Software, Equipment and materials selection-optimization, Materials Science: Metals, Polymers, Ceramics.",Intel,,
,Lin FAN ,External,,,,"Purchasing Manager, Continental Aktiengesellschaft","FAN Lin, based in Changchun, is currently Procurement Center Manager at Jingyue Branch of Continental Automotive Changchun Co., Ltd., a leading auto parts manufacturer and distributor across the world. Ms. FAN has been holding this position since July 2005, in charge of Corporate Purchasing Indirect Materials at China Non-production Material hub. She is well versed in auto parts supplier sourcing and control and has established great network in the industry.",Continental,,
,Luís Almeida Fernandes,Internal,Infosys,,Y,"Partner, Nairobi, McKinsey",Leader in McKinsey’s North American Healthcare Systems and Services practice. ,Aetna,Healthcare,
,Lyle Breiner ,External,,,,"Former Engineering Manager – Quality, Process Improvement, Intel Corporation ","Lyle Breiner was Engineering Manager of Quality, Process Improvement at Intel from 2011 - 2015. He was Manager of Technical Manufacturing at MICRON TECHNOLOGY, INC from 2003 until 2009. Mr. Breiner was responsible for the implementation of statistical process control and design of experiments in the process development department. In addition Mr. Breiner was the LEAN Six Sigma Deployment Champion for the process development department. He also managed the R&D training group. Mr. Breiner was Engineering Section Manager at Micron Technology from 1994 until 2003. He was responsible for the development of next generation process which was used in the production of semiconductors. He had responsibility for Process Engineering, Equipment Engineering and Equipment Maintenance plus the selection of the next generation of equipment. In the three years prior to being a Section manager he was a Process Development Engineer in the Plasma Etch and Thin Films deposition areas. Mr. Breiner started his career in the Semiconductor industry in 1981 at AMI Semiconductors. He held multiple positions from Sustaining Engineer, Engineering Section Manager and Operations Manager. As the Operations Manager he was responsible for Engineering and Production. He managed a budget which had a spend of over $700,000 per month. He received a BA from the University of California at San Diego and MS from Idaho State University. He is the Founder and Director of Leaders in Process Improvement.",Intel,,
,Mahi Rayasam ,Internal,Infosys,,Y,"Expert Partner, Detroit, McKinsey","Expert Associate Partner in Healthcare Analytics and Delivery at McKinsey
",Aetna,Healthcare,
,Manish Ladha,External,Infosys,,Y,"Former Director, Product Marketing (Cloud & Enterprise), Microsoft","Manish spent 9+ years at Microsoft in several roles, including most recently as Digital Transformation Lead, and Director of product marketing, Cloud & Enterprise till May 2018",Microsoft,TMT,
,Manu Parhar,External,Infosys,,Y,"Director of Product Management, Connected Devices (Smartphones, Tablets, Wearables, Hotspots, IoT), T-Mobile","Manu was the leader of high performing managers (PM, PMM) accountable for New Product Introductions (NPI), GTM and in-market management of LTE connected devices, software features, and innovative technologies.",TMO,TMT,
,Manuel Moeller,Internal,Infosys,,Y,"Partner, Frankfurt, McKinsey",Leads McKinsey’s global service line for digital strategy in Pharma and MedTech,Novartis,Healthcare,
,Marc Julien ,External,,,,"Former Group Procurement Commodity Director, Ardagh Group S.a","Marc Julien has been the Group Procurement Commodity Director at Ardagh Group, a global producer of glass and metal packaging for beer, spirits, wine, beverage, food, paint, coating and aerosol, from June 2011 until Octobber 2014. He was in charge of 7 Group Procurement Managers for commodities such as: cast iron and bronze Moulds, carbide Tooling, cardboard, plastic trays, foils, pallets, plastic layer pads, CAPEX for furnaces/bricks and machine equipment (vision inspection, cold end, hot end, presses), SAP Material Management, Telecoms, Travel, Spare Parts. He was also the former Global Procurement Manager for Aluminium at Ardagh Group between March 2008 and May 2013. In this role he was responsible for the global procurement of aluminum coils, sheets, foils and ingots (LME). He has expertise in supply chain and procurement of direct and indirect goods. Prior to this Marc was a Global Purchasing Manager at Continental AG, a top worldwide tire producer for cars, trucks, bicycles and technical rubber goods, in Germany from June 2002 to March 2008. He was responsible for the strategic procurement of carbon black, silica, silane, zinc oxide and resins for tire and rubber good production for Continental plants worldwide and was especially responsible for the global sourcing activities in Latin America for the business units of Continental AG. He gained expertise in research and development of new chemicals for performance enhancement. He also worked on greenfield tire plants in Romania, Brasil and China.",Continental,,
,Marcus Seifert,External,Infosys,,Y,"Ex-CIO, Daimler Trucks ","Ex CIO Daimler Trucks; During his career, he worked on almost every business area of Daimler and has developed strategic landscape and rollout scenarios with the relevant stakeholders in departments like product development, manufacturing engineering and sales and aftersales.
",Daimler,Manufacturing,
,Maria Sainz,External,Infosys,,Y,"Former VP, Analytics and Insights, TCCC","Led the research insights, trends and data analytics functions across Brands and Bottler organizations for the North America business
",Coca-Cola,CPG,
,Mark Heinrich,External,Infosys,,N,"Former GM of Strategic Sourcing and Supply Chain, Microsoft","Mark is the former GM of Strategic Sourcing and Supply Chain, working to build the Microsoft intelligent cloud platform ",Microsoft,TMT,
,Mark Webster,External,Infosys,,Y,"Former Technical Director of Delivery Automation, ANZ","Mark led the bank into the 21st century with its technology practices, and setting the agenda for fundamental, wide-ranging transformation to a more Agile organization. Introducing concepts and capabilities across 300+ technology projects - Continuous Delivery, Devops, Application Release Automation and internal (on-premise) cloud infrastructure",ANZ Bank,Banking,
,Mark Woodburn,Internal,Infosys,,Y,"Mark is an Expert with McKinsey and Company with 25+ years of experience, Exxon prior to joining McKinsey",,Exxon,EPNG,
,Markus Seifert,External,Infosys,,Y,"Former CIO, Detroit Diesel, Daimler","Markus was the CIO of Detroit Diesel, which is a subsidiary of Daimler Trucks North America.",Daimler,Manufacturing,
,Martin Daffner ,External,,,,"Former Senior Innovation Architect, Cisco Systems, Inc. ","Martin Daffner has over 20 years of experience driving innovation and building innovation capability and organizations with firms like Procter & Gamble, Cisco and Avery Dennison. Martin comes with world leading hands on knowledge and experience in turning innovation projects and portfolios into real business outcomes. In 2006, Martin relocated to China to start up the Asia Pacific Innovation Center for a Fortune 500 company. As the only foreigner to ever work in that facility, Martin grew the organization to a family of nearly 150 engineers and scientists. Five years later, that empty plot of land was a thriving Innovation Hub for the firm, delivering over $50MM in global value each year. Martin has developed significant experience in product development and consumer insights for both FMCG (Consumer Products) firms like Procter & Gamble, and Business to Business firms like Cisco Systems. His experience spans both prodcut focused businesses like Avery Dennison and P&G, as well as Service Business like Cisco and Inchcape (a current client in the retail services sector). While an expert in theory, Martin is also a seasoned practitioner. After creating Avery Dennison's Asia Pacific Innovation Center in Shanghai, he found a new challenge with TE Connectivity, leading the Asia Pacific Engineering organization for TE Connectivity's Telecom Networks Division. In 2012, he was recruited as Cisco's Senior Innovation Architect, hired to develop and deploy a ground-breaking innovation program. In 2013, that program was awarded the HBR/McKinsey M-Prize for ""Innovating Innovation"", and within 18 months had dramatically changed the way Cisco's Services businesses create, manage and implement their innovative ideas. This program continues to be deployed across Cisco's business, driving increases in business outcomes each quarter. Martin started his Product Development and Project Management career with Procter & Gamble, spending nearly a decade learning product development, market",Cisco,,
,Martin Harryson,Internal,,,,"Partner, Silicon Valley, McKinsey",Partner,Cisco,,
,Martin Wrulich,Internal,Infosys,,N,"Partner, Vienna, McKinsey",Global Leader of TMT CTO Service Line and Co-Leader EMEA TMT Strategy and Corporate Finance,Liberty Global,,
